,,,,,,pause
sw2102A-ms98-a-0001,A.1,0,0.205875,[silence],0.205875,4
sw2102B-ms98-a-0001,B.2,0,9.164125,[silence],9.164125,4
sw2102A-ms98-a-0002,A.1,0.205875,0.52475,[silence],0.318875,2
sw2102A-ms98-a-0002,A.1,0.52475,1.013875,Okay,0.489125,
sw2102A-ms98-a-0002,A.1,1.013875,1.72875,[silence],0.714875,2
sw2102A-ms98-a-0002,A.1,1.72875,1.91875,well,0.19,
sw2102A-ms98-a-0002,A.1,1.91875,2.10325,[silence],0.1845,2
sw2102A-ms98-a-0002,A.1,2.10325,2.265875,my,0.162625,
sw2102A-ms98-a-0002,A.1,2.265875,2.765875,favorite,0.5,
sw2102A-ms98-a-0002,A.1,2.765875,3.175875,probably,0.41,
sw2102A-ms98-a-0002,A.1,3.175875,3.495875,[silence],0.32,2
sw2102A-ms98-a-0002,A.1,3.495875,3.655875,all,0.16,
sw2102A-ms98-a-0002,A.1,3.655875,3.985875,time,0.33,
sw2102A-ms98-a-0002,A.1,3.985875,4.345875,T,0.36,
sw2102A-ms98-a-0002,A.1,4.345875,4.345875,V,0,
sw2102A-ms98-a-0002,A.1,4.345875,4.715875,show,0.37,
sw2102A-ms98-a-0002,A.1,4.715875,5.027125,is,0.31125,
sw2102A-ms98-a-0002,A.1,5.027125,5.313,STAR,0.285875,
sw2102A-ms98-a-0002,A.1,5.313,5.59425,TREK,0.28125,
sw2102A-ms98-a-0002,A.1,5.59425,6.163,[silence],0.56875,2
sw2102A-ms98-a-0003,A.1,6.163,6.501625,[silence],0.338625,2
sw2102A-ms98-a-0003,A.1,6.501625,6.72025,And,0.218625,
sw2102A-ms98-a-0003,A.1,6.72025,6.80125,I,0.081,
sw2102A-ms98-a-0003,A.1,6.80125,6.983,would,0.18175,
sw2102A-ms98-a-0003,A.1,6.983,6.983,it,0,
sw2102A-ms98-a-0003,A.1,6.983,7.263,[vocalized-noise],0.28,
sw2102A-ms98-a-0003,A.1,7.263,7.49025,like,0.22725,
sw2102A-ms98-a-0003,A.1,7.49025,7.655875,that,0.165625,
sw2102A-ms98-a-0003,A.1,7.655875,7.899,I,0.243125,
sw2102A-ms98-a-0003,A.1,7.899,8.01575,I,0.11675,
sw2102A-ms98-a-0003,A.1,8.01575,8.193,like,0.17725,
sw2102A-ms98-a-0003,A.1,8.193,8.283,the,0.09,
sw2102A-ms98-a-0003,A.1,8.283,8.798375,adventure,0.515375,
sw2102A-ms98-a-0003,A.1,8.798375,8.972875,of,0.1745,
sw2102A-ms98-a-0003,A.1,8.972875,9.14375,it,0.170875,
sw2102A-ms98-a-0003,A.3,9.14375,9.563125,[silence],0.419375,4
sw2102B-ms98-a-0002,B.2,9.164125,9.478125,[silence],0.314,2
sw2102B-ms98-a-0002,B.2,9.478125,9.874125,Uh-huh,0.396,
sw2102A-ms98-a-0004,A.3,9.563125,9.993625,[silence],0.4305,4
sw2102B-ms98-a-0002,B.4,9.874125,10.3725,[silence],0.498375,4
sw2102A-ms98-a-0004,A.3,9.993625,10.385625,And,0.392,
sw2102B-ms98-a-0003,B.4,10.3725,11.38175,[silence],1.00925,4
sw2102A-ms98-a-0004,A.3,10.385625,10.499625,the,0.114,
sw2102A-ms98-a-0004,A.3,10.499625,10.903125,idea,0.4035,
sw2102A-ms98-a-0004,A.3,10.903125,11.123125,that,0.22,
sw2102A-ms98-a-0004,A.3,11.123125,11.4505,that,0.327375,
sw2102B-ms98-a-0003,B.4,11.38175,11.742375,[noise],0.360625,
sw2102A-ms98-a-0004,A.3,11.4505,11.821875,[silence],0.371375,4
sw2102B-ms98-a-0003,B.4,11.742375,12.052375,[silence],0.31,4
sw2102A-ms98-a-0004,A.3,11.821875,11.9235,we,0.101625,
sw2102A-ms98-a-0004,A.3,11.9235,12.063125,would,0.139625,
sw2102B-ms98-a-0004,B.4,12.052375,16.24825,[silence],4.195875,4
sw2102A-ms98-a-0004,A.3,12.063125,12.583125,survive,0.52,
sw2102A-ms98-a-0004,A.3,12.583125,12.803125,long,0.22,
sw2102A-ms98-a-0004,A.3,12.803125,13.023125,enough,0.22,
sw2102A-ms98-a-0004,A.3,13.023125,13.183125,to,0.16,
sw2102A-ms98-a-0004,A.3,13.183125,13.393125,get,0.21,
sw2102A-ms98-a-0004,A.3,13.393125,13.483125,to,0.09,
sw2102A-ms98-a-0004,A.3,13.483125,13.683125,that,0.2,
sw2102A-ms98-a-0004,A.3,13.683125,14.103125,point,0.42,
sw2102A-ms98-a-0004,A.3,14.103125,14.243125,and,0.14,
sw2102A-ms98-a-0004,A.3,14.243125,14.343125,be,0.1,
sw2102A-ms98-a-0004,A.3,14.343125,14.533125,able,0.19,
sw2102A-ms98-a-0004,A.3,14.533125,14.663125,to,0.13,
sw2102A-ms98-a-0004,A.3,14.663125,14.803125,do,0.14,
sw2102A-ms98-a-0004,A.3,14.803125,14.983125,these,0.18,
sw2102A-ms98-a-0004,A.3,14.983125,15.583125,fantastic,0.6,
sw2102A-ms98-a-0004,A.3,15.583125,15.873125,things,0.29,
sw2102A-ms98-a-0004,A.3,15.873125,16.03475,in,0.161625,
sw2102A-ms98-a-0004,A.3,16.03475,16.492375,space,0.457625,
sw2102B-ms98-a-0005,B.4,16.24825,16.750625,[silence],0.502375,4
sw2102A-ms98-a-0004,A.5,16.492375,16.891875,[silence],0.3995,4
sw2102B-ms98-a-0005,B.4,16.750625,17.269625,Uh-huh,0.519,
sw2102A-ms98-a-0005,A.5,16.891875,17.3105,[silence],0.418625,4
sw2102B-ms98-a-0005,B.6,17.269625,17.722,[silence],0.452375,4
sw2102A-ms98-a-0005,A.5,17.3105,17.421875,And,0.111375,
sw2102A-ms98-a-0005,A.5,17.421875,17.531875,then,0.11,
sw2102A-ms98-a-0005,A.5,17.531875,17.632875,I,0.101,
sw2102A-ms98-a-0005,A.5,17.632875,17.79675,like,0.163875,
sw2102B-ms98-a-0006,B.6,17.722,20.513625,[silence],2.791625,4
sw2102A-ms98-a-0005,A.5,17.79675,17.907375,the,0.110625,
sw2102A-ms98-a-0005,A.5,17.907375,18.171875,they,0.2645,
sw2102A-ms98-a-0005,A.5,18.171875,18.281875,have,0.11,
sw2102A-ms98-a-0005,A.5,18.281875,18.351875,a,0.07,
sw2102A-ms98-a-0005,A.5,18.351875,18.531875,new,0.18,
sw2102A-ms98-a-0005,A.5,18.531875,18.721875,one,0.19,
sw2102A-ms98-a-0005,A.5,18.721875,19.071875,now,0.35,
sw2102A-ms98-a-0005,A.5,19.071875,19.301875,The,0.23,
sw2102A-ms98-a-0005,A.5,19.301875,19.531875,STAR,0.23,
sw2102A-ms98-a-0005,A.5,19.531875,19.781875,TREK,0.25,
sw2102A-ms98-a-0005,A.5,19.781875,19.851875,THE,0.07,
sw2102A-ms98-a-0005,A.5,19.851875,20.101875,NEXT,0.25,
sw2102A-ms98-a-0005,A.5,20.101875,20.696875,GENERATION,0.595,
sw2102B-ms98-a-0007,B.6,20.513625,21.008875,[silence],0.49525,4
sw2102A-ms98-a-0005,A.7,20.696875,21.279375,[silence],0.5825,4
sw2102B-ms98-a-0007,B.6,21.008875,21.380875,Right,0.372,
sw2102A-ms98-a-0005,A.7,21.279375,21.65975,Which,0.380375,
sw2102B-ms98-a-0007,B.8,21.380875,21.8485,[silence],0.467625,4
sw2102A-ms98-a-0005,A.7,21.65975,21.85575,[silence],0.196,4
sw2102B-ms98-a-0008,B.8,21.8485,22.869875,[silence],1.021375,4
sw2102A-ms98-a-0005,A.7,21.85575,22.078,it's,0.22225,
sw2102A-ms98-a-0005,A.7,22.078,22.161875,an,0.083875,
sw2102A-ms98-a-0005,A.7,22.161875,22.311875,all,0.15,
